Titles,Categories,Start_Pub_Date,Image
.hack//Legend_of_Twilight,"Action, Adventure, Sci Fi",2008,hacktwilight1.jpg
Bleach,"Action, Comedy, Drama, Fantasy, Super_Power, Supernatural",2001,bleach1.jpg
Dragon_Ball,"Action, Adventure, Comedy, Fantasy, Martial_Arts, Supernatural",1984,dragonball1.jpg
Hunter_X_Hunter,"Action, Adventure, Comedy, Fantasy, Super_Power",1998,hunterxhunter1.jpg
Karate_Shoukoushi_Kohinata_Minoru,Martial_Arts,2000,karate1.jpg
Naruto,"Action, Drama, Fantasy, Martial Arts, Super_Power, Supernatural",1999,onepiece1.jpg
One_Piece,"Action, Adventure, Comedy, Drama, Fantasy",1997,ragnarok1.jpg
Ragnarok,"Action, Adventure",1995,ranma1.jpg
Ranma_1/2,"Action, Comedy, Martial Arts, Romance, School Life",1988,naruto1.jpg
Sword_Art_Online,"Action, Adventure, Fantasy, Romance, Sci Fi",2010,swordartonline1.jpg